予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考,売上部門ｺｰﾄﾞ,売上部門名称,実施日,営業担当ｺｰﾄﾞ,追加売上区分,追加売上区分名称,ｷｬﾝｾﾙ日,予約状態期限日,最終更新日,作成日時,更新日時,予約登録日,決定日,仮予約日,予約種類ｺｰﾄﾞ,予約種類名称
"26622","0","1","日本ローカルネットワークシステム協同組合","1","富士","2027/07/06","17:30","19:30","日本ローカルネットワークシステム協同組合","0","渡瀬　太郎","5","ｷｬﾝｾﾙ","170"," ",""," ",""," ","","日本ローカルネットワークシステム協同組合","","6/29，7/13も仮押さえあり","2000","宴会","2024/07/06","S027","N","通常予約","2022/07/15","","2022/07/15","2022/07/15 11:13:58","2022/07/16 1:36:06","2022/07/15","","2022/07/15","2011","宴会"
"34761","150","1","足立工業株式会社","1","鶴","2027/07/02","15:00","18:00","足立工業株式会社","150","森　慎一","1","決定予約","260","15","会議","3","スクール形式"," ","","足立工業株式会社","","","6000","会議/宴会","2027/07/02","S001","N","通常予約","","","2025/09/30","2025/01/14 16:50:13","2025/09/30 11:24:38","2025/01/14","2025/01/21","2025/01/14","2081","会議/宴会"
"34761","150","1","足立工業株式会社","2","紬","2027/07/02","18:00","20:00","足立工業株式会社","150","森　慎一","1","決定予約","290","30","懇親会","21","立食"," ","","足立工業株式会社","","","6000","会議/宴会","2027/07/02","S001","N","通常予約","","","2025/09/30","2025/01/14 16:50:13","2025/09/30 11:24:38","2025/01/14","2025/01/21","2025/01/14","2081","会議/宴会"
"34816","70","1","住友理工労働組合","5","鶴","2027/08/28","09:00","13:00","住友理工労働組合","0","渡瀬　太郎","2","仮予約","260","15","会議","8","グループ(島)"," ","","住友理工労働組合","","","8000","会議/宴会/宿泊","2027/08/27","S027","N","通常予約","","2025/01/25","2025/01/18","2025/01/18 13:43:24","2025/01/18 13:43:27","2025/01/18","","2025/01/18","2081","会議/宴会"
"34816","70","1","住友理工労働組合","3","鶴","2027/08/27","20:00","22:00","住友理工労働組合","0","渡瀬　太郎","2","仮予約","260","52","入れ込み"," ",""," ","","住友理工労働組合","","","8000","会議/宴会/宿泊","2027/08/27","S027","N","通常予約","","2025/01/25","2025/01/18","2025/01/18 13:43:24","2025/01/18 13:43:27","2025/01/18","","2025/01/18","2081","会議/宴会"
"34816","70","1","住友理工労働組合","1","鶴","2027/08/27","09:00","18:00","住友理工労働組合","70","渡瀬　太郎","2","仮予約","260","15","会議","3","スクール形式"," ","","住友理工労働組合","","","8000","会議/宴会/宿泊","2027/08/27","S027","N","通常予約","","2025/01/25","2025/01/18","2025/01/18 13:43:24","2025/01/18 13:43:27","2025/01/18","","2025/01/18","2081","会議/宴会"
"34816","70","1","住友理工労働組合","2","伏見","2027/08/27","09:00","11:00","住友理工労働組合","0","渡瀬　太郎","2","仮予約","370","83","来賓控室","8","グループ(島)"," ","","住友理工労働組合","","","8000","会議/宴会/宿泊","2027/08/27","S027","N","通常予約","","2025/01/25","2025/01/18","2025/01/18 13:43:24","2025/01/18 13:43:27","2025/01/18","","2025/01/18","2081","会議/宴会"
"34816","70","1","住友理工労働組合","4","紬","2027/08/27","18:00","20:00","住友理工労働組合","70","渡瀬　太郎","2","仮予約","290","30","懇親会","72","丸卓"," ","","住友理工労働組合","","","8000","会議/宴会/宿泊","2027/08/27","S027","N","通常予約","","2025/01/25","2025/01/18","2025/01/18 13:43:24","2025/01/18 13:43:27","2025/01/18","","2025/01/18","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","10","富士","2027/07/10","17:30","19:30","日本ローカルネットワークシステム協同組合","200","渡瀬　太郎","2","仮予約","170","30","懇親会","72","丸卓"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","15","富士","2027/07/03","17:30","19:30","日本ローカルネットワークシステム協同組合","200","渡瀬　太郎","2","仮予約","170","30","懇親会","72","丸卓"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","4","富士","2027/06/26","17:30","19:30","日本ローカルネットワークシステム協同組合","0","渡瀬　太郎","2","仮予約","170","30","懇親会","72","丸卓"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","7","鶴","2027/07/10","12:00","17:30","日本ローカルネットワークシステム協同組合","200","渡瀬　太郎","2","仮予約","260","15","会議","3","スクール形式"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","12","鶴","2027/07/03","12:00","17:30","日本ローカルネットワークシステム協同組合","200","渡瀬　太郎","2","仮予約","260","15","会議","3","スクール形式"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","1","鶴","2027/06/26","12:00","17:30","日本ローカルネットワークシステム協同組合","200","渡瀬　太郎","2","仮予約","260","15","会議","3","スクール形式"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","13","橘","2027/07/03","12:30","14:30","日本ローカルネットワークシステム協同組合","0","渡瀬　太郎","2","仮予約","350","83","来賓控室","8","グループ(島)"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","8","橘","2027/07/10","12:30","14:30","日本ローカルネットワークシステム協同組合","0","渡瀬　太郎","2","仮予約","350","83","来賓控室","8","グループ(島)"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","2","橘","2027/06/26","12:30","14:30","日本ローカルネットワークシステム協同組合","0","渡瀬　太郎","2","仮予約","350","83","来賓控室","8","グループ(島)"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
"34849","200","1","日本ローカルネットワークシステム協同組合","6","紬","2027/07/03","17:30","19:30","日本ローカルネットワークシステム協同組合","0","渡瀬　太郎","2","仮予約","290","30","懇親会","72","丸卓"," "," ","日本ローカルネットワークシステム協同組合","","","8000","会議/宴会/宿泊","2027/06/26","S027","N","通常予約","","2025/01/29","2025/12/09","2025/01/22 13:11:29","2025/12/09 13:23:15","2025/01/22","","2025/01/22","2081","会議/宴会"
