予約番号,実施日,提供会場枝番,明細枝番,予約宴会名称,主会場ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目名称,ﾊﾟｯｹｰｼﾞ商品ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ商品名称,科目ｺｰﾄﾞ,科目名称,商品ｺｰﾄﾞ,商品名称,単価,数量,請求金額(GROSS),請求金額(NET),請求金額(ｻｰﾋﾞｽ料),請求金額(消費税),割引名称,割引率,割引金額
"35634","2028/05/27","1","1","愛知志登茂会","250"," ",""," ","","R01","会場料収入","0004","御会議室料金【錦の間】","54900.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","54900.0000"
"35634","2028/05/27","1","2","愛知志登茂会","250"," ",""," ","","R01","会場料収入","0027","御会議室料金【伏見の間】","20400.0000","1","20400.0000","18546.0000","0.0000","1854.0000","","0.00","0.0000"
"35634","2028/05/27","1","3","愛知志登茂会","250"," ",""," ","","R01","会場料収入","0029","三蔵","17300.0000","1","17300.0000","15728.0000","0.0000","1572.0000","","0.00","0.0000"
"35634","2028/05/27","1","4","愛知志登茂会","250"," ",""," ","","B02","会議お飲物","0008","ペットボトルお茶(500ml)","363.0000","48","17424.0000","14400.0000","1440.0000","1584.0000","","0.00","0.0000"
"35634","2028/05/27","1","8","愛知志登茂会","250"," ",""," ","","M10","ミスク(会議ミスク)","0004","お土産","2700.0000","5","13500.0000","12273.0000","0.0000","1227.0000","","0.00","0.0000"
"35634","2028/05/27","1","9","愛知志登茂会","250"," ",""," ","","B01","ご宴会お飲物","0003","飲み放題B(2時間)","2600.0000","88","228800.0000","189091.0000","18909.0000","20800.0000","","0.00","0.0000"
"35634","2028/05/27","1","10","愛知志登茂会","250"," ",""," ","","M06","外部オプション(コンパ)","0001","コンパニオン","19800.0000","10","198000.0000","180000.0000","0.0000","18000.0000","","0.00","0.0000"
"35634","2028/05/27","9999","12","愛知志登茂会","250","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","8630.0000","88","759440.0000","628848.0000","61600.0000","68992.0000","","0.00","0.0000"
"35634","2028/05/27","1","12","愛知志登茂会","250","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","8470.0000","88","745360.0000","616000.0000","61600.0000","67760.0000","","0.00","0.0000"
"35634","2028/05/27","1","12","愛知志登茂会","250","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","88","14080.0000","12848.0000","0.0000","1232.0000","","0.00","0.0000"
"35634","2028/05/27","1","13","愛知志登茂会","250"," ",""," ","","R02","会場料収入(宴会)","0018","富士","330.0000","88","29040.0000","26400.0000","0.0000","2640.0000","","0.00","0.0000"
