予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考
"35208","30","1","愛知県弁護士協同組合特約店会　※17:00ホットコーヒー出ます。","2","鶴(１)","2025/05/30","17:40","19:40","愛知県弁護士協同組合特約店会 懇親会","30","森　慎一","1","決定予約","270","30","懇親会","72","丸卓"," "," ","株式会社仙台屋","",""
"35208","30","1","愛知県弁護士協同組合特約店会　※17:00ホットコーヒー出ます。","1","楓","2025/05/30","16:00","17:30","愛知県弁護士協同組合特約店会 総会","30","森　慎一","1","決定予約","340","15","会議","3","スクール形式"," "," ","株式会社仙台屋","",""
"35217","0","0","ビー･マックス株式会社","1","葵","2025/04/17","12:00","17:00","ビー・マックス株式会社","18","森　慎一","1","決定予約","360","15","会議","3","スクール形式"," "," ","ビー･マックス株式会社","",""
"35219","38","1","昭和鉄工実務者会議　※5/26 or 28","4","楓","2025/05/28","18:00","20:00","昭和鉄工実務者会議","0","吉村　愛香","2","仮予約","340"," ",""," ",""," "," ","朝日機器株式会社","",""
"35219","38","1","昭和鉄工実務者会議　※5/26 or 28","2","楓","2025/05/26","18:00","20:00","昭和鉄工実務者会議","38","吉村　愛香","2","仮予約","340","30","懇親会","21","立食"," "," ","朝日機器株式会社","",""
"35219","38","1","昭和鉄工実務者会議　※5/26 or 28","3","紬","2025/05/28","13:00","18:00","昭和鉄工実務者会議","0","吉村　愛香","2","仮予約","290"," ",""," ",""," "," ","朝日機器株式会社","",""
"35219","38","1","昭和鉄工実務者会議　※5/26 or 28","1","紬","2025/05/26","13:00","18:00","昭和鉄工実務者会議","38","吉村　愛香","2","仮予約","290","15","会議","3","スクール形式"," "," ","朝日機器株式会社","",""
"35227","0","1","京都市立小学校修学旅行下見","1","富士","2025/04/04","10:00","17:30","京都市立小学校修学旅行下見","0","近藤　和記","3","営業押え","170"," ",""," ",""," "," ","1","","12：00～４校　13：00～5校　14：00　3校　　16：30～１校"
"35227","0","1","京都市立小学校修学旅行下見","3","新　三蔵","2025/04/04","14:00","17:30","京都市立小学校修学旅行下見","0","近藤　和記","3","営業押え","115"," ",""," ",""," "," ","1","","12：00～４校　13：00～5校　14：00　3校　　16：30～１校"
"35227","0","1","京都市立小学校修学旅行下見","2","新　三蔵","2025/04/04","10:00","12:00","京都市立小学校修学旅行下見","0","近藤　和記","3","営業押え","115"," ",""," ",""," "," ","1","","12：00～４校　13：00～5校　14：00　3校　　16：30～１校"
"35229","3","1","【下見】ELJソーラーコーポレーション","1","紬","2025/04/01","18:00","19:00","【下見】ELJソーラーコーポレーション","3","渡瀬　太郎","3","営業押え","290"," ",""," ",""," "," ","【下見】ELJソーラーコーポレーション","","4/2～の下見"
"35239","7","2","（下見）全日本篆刻連盟","2","鶴","2025/04/30","17:00","18:00","（下見）全日本篆刻連盟","0","吉村　愛香","3","営業押え","260","30","懇親会"," ",""," "," ","（下見）全日本篆刻連盟","","11/23の下見"
"35239","7","2","（下見）全日本篆刻連盟","1","紬","2025/04/30","17:00","18:00","（下見）全日本篆刻連盟","7","吉村　愛香","3","営業押え","290","23","講演会"," ",""," "," ","（下見）全日本篆刻連盟","","11/23の下見"
"35241","10","1","中部光沢化工紙協同組合","1","竹","2025/05/15","18:00","20:00","中部光沢化工紙協同組合 例会","10","渡瀬　太郎","1","決定予約","210","30","懇親会","16","和室イステー"," "," ","中部光沢化工紙協同組合","",""
"35248","40","1","名古屋市立港明中学校","1","楓","2025/05/09","18:00","20:00","名古屋市立港明中学校","40","森　慎一","2","仮予約","340"," ","","72","丸卓"," "," ","名古屋市立港明中学校","",""
"35249","0","1","【下見】明治大学保護者会","1","富士","2025/03/31","13:00","14:00","【下見】明治大学保護者会","0","森　慎一","3","営業押え","170","88","下見"," ",""," "," ","明治大学保護者会","",""
"35249","0","1","【下見】明治大学保護者会","2","紬","2025/03/31","13:00","14:00","【下見】明治大学保護者会","0","森　慎一","3","営業押え","290","88","下見"," ",""," "," ","明治大学保護者会","",""
"35257","45","1","三輝工業株式会社","1","錦","2025/05/11","09:00","11:00","三輝工業株式会社","45","渡瀬　太郎","2","仮予約","250","15","会議","3","スクール形式"," "," ","三輝工業株式会社","","前泊あり"
"35258","0","0","【下見】日本テニス産業セミナー","2","富士","2025/04/09","10:00","11:00","日本テニス産業セミナー","3","伊藤　良行","3","営業押え","170","88","下見","21","立食","2999","株式会社エス・イー・ティー・クリエーショ","","その他AGT",""
"35258","0","0","【下見】日本テニス産業セミナー","1","鶴","2025/04/09","10:00","11:00","日本テニス産業セミナー","3","伊藤　良行","3","営業押え","260","88","下見","3","スクール形式","2999","株式会社エス・イー・ティー・クリエーショ","","その他AGT",""
