予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考,売上部門ｺｰﾄﾞ,売上部門名称,実施日,営業担当ｺｰﾄﾞ,追加売上区分,追加売上区分名称,ｷｬﾝｾﾙ日,予約状態期限日,最終更新日,作成日時,更新日時,予約登録日,決定日,仮予約日,予約種類ｺｰﾄﾞ,予約種類名称
"34893","120","1","オリエンタル忘年会（12/17・12/18のどちらか）　※18:00ｽﾀｰﾄ","2","富士","2027/12/18","17:30","20:00","オリエンタル忘年会　※18:00ｽﾀｰﾄ","120","渡瀬　太郎","2","仮予約","170","43","忘年会","72","丸卓"," ","","(医）ｵﾘｴﾝﾀﾙｸﾘﾆｯｸ","","","2000","宴会","2027/12/17","S027","N","通常予約","","2025/02/03","2025/02/17","2025/01/27 16:35:01","2025/02/17 17:33:07","2025/01/27","","2025/01/27","2011","宴会"
"34893","120","1","オリエンタル忘年会（12/17・12/18のどちらか）　※18:00ｽﾀｰﾄ","1","富士","2027/12/17","17:30","20:00","オリエンタル忘年会　※18:00ｽﾀｰﾄ","120","渡瀬　太郎","2","仮予約","170","43","忘年会","72","丸卓"," ","","(医）ｵﾘｴﾝﾀﾙｸﾘﾆｯｸ","","","2000","宴会","2027/12/17","S027","N","通常予約","","2025/02/03","2025/02/17","2025/01/27 16:35:01","2025/02/17 17:33:07","2025/01/27","","2025/01/27","2011","宴会"
"34922","15","1","株式会社三和化学研究所","13","桐","2027/12/07","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","12","桐","2027/12/06","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","11","桐","2027/12/05","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","10","桐","2027/12/04","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","9","桐","2027/12/03","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","8","桐","2027/12/02","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","7","桐","2027/12/01","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","5","桐","2027/12/11","08:30","16:00","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220"," ",""," ",""," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
"34922","15","1","株式会社三和化学研究所","4","桐","2027/12/10","08:30","17:30","株式会社三和化学研究所","15","渡瀬　太郎","5","ｷｬﾝｾﾙ","220","15","会議","3","スクール形式"," "," ","株式会社三和化学研究所","","","9010","会議/宿泊","2027/11/29","S027","N","通常予約","2025/12/13","","2025/12/13","2025/01/30 13:05:33","2025/12/14 2:45:54","2025/01/30","","2025/01/30","2021","会議"
