予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考,売上部門ｺｰﾄﾞ,売上部門名称,実施日,営業担当ｺｰﾄﾞ,追加売上区分,追加売上区分名称,ｷｬﾝｾﾙ日,予約状態期限日,最終更新日,作成日時,更新日時,予約登録日,決定日,仮予約日,予約種類ｺｰﾄﾞ,予約種類名称
"30537","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","6","鶴","2025/12/13","16:00","21:30","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250","伊藤　良行","1","決定予約","260","30","懇親会","21","立食"," ","","NLA運動実行委員会","","","3000","会議","2025/12/13","S003","N","通常予約","","","2025/12/13","2023/06/26 17:29:24","2025/12/15 1:41:29","2023/06/26","2025/04/03","2023/06/26","2021","会議"
"30537","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","5","錦","2025/12/13","15:00","23:59","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250","伊藤　良行","1","決定予約","250","97","ﾁｪｯｸｲﾝ･ﾁｪｯｸｱｳﾄ会場","1","フラット"," ","","NLA運動実行委員会","","","3000","会議","2025/12/13","S003","N","通常予約","","","2025/12/13","2023/06/26 17:29:24","2025/12/15 1:41:29","2023/06/26","2025/04/03","2023/06/26","2021","会議"
"30537","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","4","錦","2025/12/14","07:00","10:00","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250","伊藤　良行","1","決定予約","250","97","ﾁｪｯｸｲﾝ･ﾁｪｯｸｱｳﾄ会場","1","フラット"," ","","NLA運動実行委員会","","","3000","会議","2025/12/13","S003","N","通常予約","","","2025/12/13","2023/06/26 17:29:24","2025/12/15 1:41:29","2023/06/26","2025/04/03","2023/06/26","2021","会議"
"30540","73","1","㈱ハタノ","1","富士(１)","2025/12/13","18:00","20:15","㈱ハタノ安全協力会　忘年会","73","伊藤　良行","1","決定予約","180","43","忘年会","72","丸卓","2999","名鉄観光バス豊田支店","","その他AGT","飲み放題B","2000","宴会","2025/12/13","S003","N","通常予約","","","2025/12/13","2023/06/26 17:31:15","2025/12/14 2:45:54","2023/06/26","2024/12/15","2023/06/26","2011","宴会"
"30541","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","1","錦","2025/12/13","15:00","23:59","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250","伊藤　良行","5","ｷｬﾝｾﾙ","250","99","その他","1","フラット"," ","","NLA運動実行委員会","","","3000","会議","2025/12/13","S003","N","通常予約","2024/12/25","","2024/12/25","2023/06/26 17:35:18","2024/12/26 2:01:36","2023/06/26","","2023/06/26","2021","会議"
"30542","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会　※12/6か13","1","鶴","2025/12/13","16:00","21:30","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250","伊藤　良行","5","ｷｬﾝｾﾙ","260","30","懇親会","21","立食"," ","","NLA運動実行委員会","","","2000","宴会","2025/12/13","S003","N","通常予約","2025/01/07","","2025/01/07","2023/06/26 17:35:46","2025/01/08 1:08:21","2023/06/26","","2023/06/26","2011","宴会"
"30542","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会　※12/6か13","3","錦","2025/12/13","15:00","22:00","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会　※12/6か13","0","伊藤　良行","5","ｷｬﾝｾﾙ","250"," ",""," ",""," ","","NLA運動実行委員会","","","2000","宴会","2025/12/13","S003","N","通常予約","2025/01/07","","2025/01/07","2023/06/26 17:35:46","2025/01/08 1:08:21","2023/06/26","","2023/06/26","2011","宴会"
"30542","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会　※12/6か13","2","錦","2025/12/14","07:00","10:00","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会　※12/6か13","0","伊藤　良行","5","ｷｬﾝｾﾙ","250"," ",""," ",""," ","","NLA運動実行委員会","","","2000","宴会","2025/12/13","S003","N","通常予約","2025/01/07","","2025/01/07","2023/06/26 17:35:46","2025/01/08 1:08:21","2023/06/26","","2023/06/26","2011","宴会"
"30543","250","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","1","錦","2025/12/14","07:00","10:00","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250","伊藤　良行","5","ｷｬﾝｾﾙ","250","99","その他","1","フラット"," ","","NLA運動実行委員会","","","3000","会議","2025/12/14","S003","N","通常予約","2024/12/25","","2024/12/25","2023/06/26 17:36:12","2024/12/26 2:01:36","2023/06/26","","2023/06/26","2021","会議"
"31498","60","1","愛商連　　　（押さえ）","1","松","2025/12/13","18:00","20:00","愛商連　　　（押さえ）","60","近藤　和記","5","ｷｬﾝｾﾙ","200","30","懇親会","16","和室イステー"," "," ","*","","","2000","宴会","2025/12/13","R003","N","通常予約","2025/10/30","","2025/10/30","2023/10/16 15:00:00","2025/12/16 2:29:04","2023/10/16","","2023/10/16","2011","宴会"
"31502","140","1","中日本高速道路株式会社","11","鶴(１)","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","森　慎一","5","ｷｬﾝｾﾙ","270","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/09","S001","N","通常予約","2024/12/23","","2024/12/23","2023/10/16 15:11:00","2024/12/24 2:03:45","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
"31502","140","1","中日本高速道路株式会社","4","楓","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","森　慎一","5","ｷｬﾝｾﾙ","340","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/09","S001","N","通常予約","2024/12/23","","2024/12/23","2023/10/16 15:11:00","2024/12/24 2:03:45","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
"31502","140","1","中日本高速道路株式会社","3","紬(２)","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","森　慎一","5","ｷｬﾝｾﾙ","310","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/09","S001","N","通常予約","2024/12/23","","2024/12/23","2023/10/16 15:11:00","2024/12/24 2:03:45","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
"31502","140","1","中日本高速道路株式会社","10","錦","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","森　慎一","5","ｷｬﾝｾﾙ","250","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/09","S001","N","通常予約","2024/12/23","","2024/12/23","2023/10/16 15:11:00","2024/12/24 2:03:45","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
"31504","60","2","中日本高速道路株式会社","2","鶴(１)","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","大木　淳","5","ｷｬﾝｾﾙ","270","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/11","S009","N","通常予約","2024/05/16","","2024/05/16","2023/10/16 15:12:35","2024/05/17 1:16:11","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
"31504","60","2","中日本高速道路株式会社","4","楓","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","大木　淳","5","ｷｬﾝｾﾙ","340","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/11","S009","N","通常予約","2024/05/16","","2024/05/16","2023/10/16 15:12:35","2024/05/17 1:16:11","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
"31504","60","2","中日本高速道路株式会社","3","紬(２)","2025/12/11","09:00","18:00","中日本高速道路株式会社","30","大木　淳","5","ｷｬﾝｾﾙ","310","21","ｾﾐﾅｰ","8","グループ(島)"," ","","ＮＥＸＣＯ中日本サービス㈱","","","8100","会議/食事/宿泊","2025/12/11","S009","N","通常予約","2024/05/16","","2024/05/16","2023/10/16 15:12:35","2024/05/17 1:16:11","2023/10/16","","2023/10/16","2102","会議/食事/宿泊"
