予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考
"28265","140","1","互彩会","1","富士","2025/03/01","18:30","21:00","互彩会","140","伊藤　良行","5","ｷｬﾝｾﾙ","170","30","懇親会","99","未定","2103","名鉄観光豊田支店","","名鉄観光",""
"28265","140","1","互彩会","2","竹","2025/03/01","21:00","23:00","互彩会","0","伊藤　良行","5","ｷｬﾝｾﾙ","210","48","二次会","99","未定","2103","名鉄観光豊田支店","","名鉄観光",""
"28266","90","1","トヨタ押さえ","2","橘","2025/03/01","21:00","23:00","トヨタ押さえ","0","伊藤　良行","5","ｷｬﾝｾﾙ","350","48","二次会","99","未定","2999","＊","","その他AGT",""
"28266","90","1","トヨタ押さえ","1","松","2025/03/01","18:30","21:00","トヨタ押さえ","90","伊藤　良行","5","ｷｬﾝｾﾙ","200","30","懇親会","99","未定","2999","＊","","その他AGT",""
"28267","0","1","トヨタ押さえ","1","竹","2025/03/01","21:00","23:00","トヨタ押さえ","0","伊藤　良行","5","ｷｬﾝｾﾙ","210","48","二次会","26","テーブル"," ","＊","","",""
"28268","0","1","トヨタ押さえ","1","橘","2025/03/01","21:00","23:00","トヨタ押さえ","0","伊藤　良行","5","ｷｬﾝｾﾙ","350","48","二次会","26","テーブル"," ","＊","","",""
"28269","140","1","トヨタ押さえ","1","富士","2025/03/08","18:30","21:00","トヨタ押さえ","140","伊藤　良行","5","ｷｬﾝｾﾙ","170","30","懇親会","99","未定","2107","＊","","トヨタツーリスト",""
"28269","140","1","トヨタ押さえ","2","竹","2025/03/08","21:00","23:00","トヨタ押さえ　二次会","0","伊藤　良行","5","ｷｬﾝｾﾙ","210","48","二次会","99","未定","2107","＊","","トヨタツーリスト",""
"28270","85","1","大豊工業㈱工長会　※幹事15:30/受付(1F玄関)16:30/総会18:00/宴会18:30","1","松","2025/03/15","18:00","20:30","大豊工業㈱工長会","85","伊藤　良行","1","決定予約","200","30","懇親会","72","丸卓","2103","名鉄観光豊田支店","","名鉄観光","二次会：ﾊﾞｲｵｰﾀﾞｰ"
"28270","85","1","大豊工業㈱工長会　※幹事15:30/受付(1F玄関)16:30/総会18:00/宴会18:30","2","竹","2025/03/15","20:30","21:30","大豊工業㈱工長会　二次会","0","伊藤　良行","1","決定予約","210","48","二次会","16","和室イステー","2103","名鉄観光豊田支店","","名鉄観光","二次会：ﾊﾞｲｵｰﾀﾞｰ"
"28271","120","1","トヨタ押さえ","1","富士","2025/03/22","18:30","21:00","トヨタ押さえ","120","伊藤　良行","5","ｷｬﾝｾﾙ","170","30","懇親会","99","未定"," ","＊","","",""
"28272","90","1","トヨタ押さえ","2","橘","2025/03/08","21:00","23:00","トヨタ押さえ","0","伊藤　良行","5","ｷｬﾝｾﾙ","350","48","二次会","99","未定","2999","＊","","その他AGT",""
"28272","90","1","トヨタ押さえ","1","松","2025/03/08","18:30","21:00","トヨタ押さえ","90","伊藤　良行","5","ｷｬﾝｾﾙ","200","30","懇親会","99","未定","2999","＊","","その他AGT",""
"28273","90","1","トヨタ押さえ","2","橘","2025/03/15","21:00","23:00","トヨタ押さえ","0","伊藤　良行","5","ｷｬﾝｾﾙ","350","48","二次会","99","未定","2999","＊","","その他AGT",""
"28273","90","1","トヨタ押さえ","1","松","2025/03/15","18:30","21:00","トヨタ押さえ","90","伊藤　良行","5","ｷｬﾝｾﾙ","200","30","懇親会","99","未定","2999","＊","","その他AGT",""
